date,wind_speed_min_km_h,wind_speed_max_km_h,wind_speed_mean_km_h
2025-09-01,6,17.9,13.4
2025-09-02,1.8,11.2,7.2
2025-09-03,6.9,21.1,12.8
2025-09-04,2.9,11.9,7.3
2025-09-05,2.5,11.2,6.8
2025-09-06,2.5,9.4,5.4
2025-09-07,2.9,11.3,7.1
2025-09-08,3.7,11.9,7.1
2025-09-09,1.8,11.3,6.2
2025-09-10,1.3,10.4,5.4
2025-09-11,4.5,17.8,10.8
2025-09-12,5.8,14.1,9.4
2025-09-13,5.4,14.6,8
2025-09-14,3.7,13.8,8.2
2025-09-15,6.6,14.5,10.7
2025-09-16,10.5,24.7,17.8
2025-09-17,7.7,20.6,14.6
2025-09-18,8.3,14.6,11.7
2025-09-19,5.4,16.1,9.3
2025-09-20,5.5,10.8,7.8
2025-09-21,4.3,18.4,11.3
2025-09-22,3.7,11.7,7.6
2025-09-23,4.1,12.1,7.3
2025-09-24,8.7,19.8,14.1
2025-09-25,13.1,21,16.5
2025-09-26,12.6,17.3,15.2
2025-09-27,7.9,14,12.1
2025-09-28,7,12.1,8.6
2025-09-29,4.8,10.5,7.2
2025-09-30,5.2,11.6,8.6
2025-10-01,2.8,8.8,5.7
2025-10-02,0.8,6,3.2
2025-10-03,0.4,12.1,5.6
2025-10-04,8.7,20.9,15.2
2025-10-05,14.8,22.8,17.5
2025-10-06,8.4,24.1,16.6
2025-10-07,3.3,7.9,5.4
2025-10-08,5.9,10.2,7.6
2025-10-09,7.4,16.6,10.7
2025-10-10,12.3,17.8,15.4
2025-10-11,10.8,17.5,14.4
2025-10-12,5.6,15.1,11.2
2025-10-13,4.6,9.1,6.3
2025-10-14,1.5,10.7,7.3
2025-10-15,1.8,9.4,6
2025-10-16,7.5,13,10.5
2025-10-17,9.5,19.2,13.4
2025-10-18,2.6,15.3,8.3
2025-10-19,2.5,13.7,9.3
2025-10-20,10.2,14.6,12.4
2025-10-21,6.8,15.1,11.4
2025-10-22,2.7,8.5,6.1
2025-10-23,6.8,19.3,13.1
2025-10-24,13.2,22.2,17
2025-10-25,11.5,18.1,14.8
2025-10-26,12.3,26.4,20.6
2025-10-27,12.3,22.2,17.8
2025-10-28,13.9,21.7,17.4
2025-10-29,7,15,11.1
2025-10-30,11,25.4,17.3
2025-10-31,4.8,11.5,8.1
2025-11-01,6.6,10.9,8.6
2025-11-02,2.7,9.4,5.1
2025-11-03,3.7,15.8,10.6
2025-11-04,6.4,11,8.4
2025-11-05,5.8,10.4,8.2
2025-11-06,6.6,12.4,9.3
2025-11-07,3.6,9.8,7.3
2025-11-08,0.8,6.5,4
